recipe_id,recipe_name,prep_time,cook_time,servings,yield,ingredient_id,units,quantity,preparation_notes,directions,cusine_path,nutrition,img_src,youtube_url
127,Applesauce Pork Chops,15 mins,45 mins,2,,1145,tablespoon,1,,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,9004,,1,"peeled, cored, and sliced","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,11282,cup,0.25, chopped ,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,O049,inch,2,1/2 thick ,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,2047,teaspoon,0.5,,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,2023,,, ground | to taste ,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,9020,cup,0.75,,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,19334,tablespoons,2,,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,2046,teaspoon,0.5, ground ,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
127,Applesauce Pork Chops,15 mins,45 mins,2,,2010,teaspoon,0.125, ground ,"Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",Main Dishes,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,https://youtu.be/xq1va8oSr24?feature=shared
