Unnamed: 0,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src,ingredient_list,cleaned_ingredients,units,quantity,preparation_notes
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,1 tablespoon butter,butter,tablespoon,1.0,
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,1  apple - peeled,apple,,1.0,peeled
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,cored,,,,cored
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,and sliced,,,,sliced
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,¼ cup chopped onion,onion,cup,0.25,chopped
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,2  (1/2-inch thick) pork chops,thick pork chops,,2.0,
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,½ teaspoon salt,salt,teaspoon,0.5,
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,ground black pepper to taste,black pepper,,,ground
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,¾ cup applesauce,applesauce,cup,0.75,
127,Applesauce Pork Chops,15 mins,45 mins,1 hrs,2,,"1 tablespoon butter, 1  apple - peeled, cored, and sliced, ¼ cup chopped onion, 2  (1/2-inch thick) pork chops, ½ teaspoon salt,   ground black pepper to taste, ¾ cup applesauce, 2 tablespoons brown sugar, ½ teaspoon ground mustard, ⅛ teaspoon ground cinnamon","Preheat the oven to 375 degrees F (190 degrees C).
Melt butter in a large skillet over medium heat; cook and stir apple and onion in melted butter until tender, about 5 minutes. Transfer apple and onion mixture to a bowl.
Place pork chops in the same skillet over medium heat; cook until pork chops are browned, about 5 minutes per side. Place pork chops in a 9x9-inch baking dish; season with salt and black pepper.
Mix applesauce, brown sugar, mustard, and cinnamon into apple and onion mixture. Spoon over pork chops.
Bake, covered, in the preheated oven until pork chops are no longer pink in the center, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",4.4,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,/Main Dishes/Pork/Pork Chop Recipes/Baked/,"Total Fat 18g 23%, Saturated Fat 8g 40%, Cholesterol 78mg 26%, Sodium 674mg 29%, Total Carbohydrate 36g 13%, Dietary Fiber 3g 12%, Total Sugars 30g, Protein 24g, Vitamin C 6mg 31%, Calcium 47mg 4%, Iron 1mg 7%, Potassium 586mg 12%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 2",https://www.allrecipes.com/thmb/QtBVGxFx_JUg-Xyn1jLe18DHMYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4570368-applesauce-pork-chops-Gary-Lee-Gillmeister-4x3-1-38244a0ed7684dc396b8396f6aaa08cc.jpg,2 tablespoons brown sugar,brown sugar,tablespoon,2.0,
